"","RiskFactorID","RiskFactorValue","FactorValue","comment"
"228",109,186,0.378888431453363,"LDL"
"229",109,187,0.385654296300745,"LDL"
"230",109,188,0.392420161148126,"LDL"
"231",109,189,0.399186025995508,"LDL"
"232",109,190,0.405951890842889,"LDL"
"233",109,191,0.412717755690271,"LDL"
"234",109,192,0.419483620537652,"LDL"
"235",109,193,0.426249485385034,"LDL"
"236",109,194,0.433015350232415,"LDL"
"237",109,195,0.439781215079797,"LDL"
"238",109,196,0.446547079927178,"LDL"
"239",109,197,0.45331294477456,"LDL"
"240",109,198,0.460078809621941,"LDL"
"241",109,199,0.466844674469323,"LDL"
"242",109,200,0.473610539316704,"LDL"
"243",109,201,0.480376404164086,"LDL"
"244",109,202,0.487142269011467,"LDL"
"245",109,203,0.493908133858849,"LDL"
"246",109,204,0.50067399870623,"LDL"
"247",109,205,0.507439863553611,"LDL"
"248",109,206,0.514205728400993,"LDL"
"249",109,207,0.520971593248374,"LDL"
"250",109,208,0.527737458095756,"LDL"
"251",109,209,0.534503322943137,"LDL"
"252",109,210,0.541269187790519,"LDL"
"253",109,211,0.5480350526379,"LDL"
"254",109,212,0.554800917485282,"LDL"
"255",109,213,0.561566782332663,"LDL"
"256",109,214,0.568332647180045,"LDL"
"257",109,215,0.575098512027426,"LDL"
"258",109,216,0.581864376874808,"LDL"
"259",109,217,0.588630241722189,"LDL"
"260",109,218,0.595396106569571,"LDL"
"261",109,219,0.602161971416952,"LDL"
"262",109,220,0.608927836264334,"LDL"
"263",109,221,0.615693701111715,"LDL"
"264",109,222,0.622459565959097,"LDL"
"265",109,223,0.629225430806478,"LDL"
"266",109,224,0.63599129565386,"LDL"
"267",109,225,0.642757160501241,"LDL"
"268",109,226,0.649523025348623,"LDL"
"269",109,227,0.656288890196004,"LDL"
"270",109,228,0.663054755043386,"LDL"
"271",109,229,0.669820619890767,"LDL"
"272",109,230,0.676586484738149,"LDL"
"273",109,231,0.68335234958553,"LDL"
"274",109,232,0.690118214432912,"LDL"
"275",109,233,0.696884079280293,"LDL"
"276",109,234,0.703649944127675,"LDL"
"277",109,235,0.710415808975056,"LDL"
"278",109,236,0.717181673822438,"LDL"
"279",109,237,0.723947538669819,"LDL"
"280",109,238,0.7307134035172,"LDL"
"281",109,239,0.737479268364582,"LDL"
"282",109,240,0.744245133211964,"LDL"
"283",109,241,0.751010998059345,"LDL"
"284",109,242,0.757776862906727,"LDL"
"285",109,243,0.764542727754108,"LDL"
"286",109,244,0.771308592601489,"LDL"
"287",109,245,0.778074457448871,"LDL"
"288",109,246,0.784840322296252,"LDL"
"289",109,247,0.791606187143634,"LDL"
"290",109,248,0.798372051991015,"LDL"
"291",109,249,0.805137916838397,"LDL"
"292",109,250,0.811903781685778,"LDL"
"293",114,0,0.10237290870956,"DIET(AHEI)"
"294",114,1,0.10237290870956,"DIET(AHEI)"
"295",114,2,0.1010482489419,"DIET(AHEI)"
"296",114,3,0.09972358917424,"DIET(AHEI)"
"297",114,4,0.09839892940658,"DIET(AHEI)"
"298",114,5,0.09707426963892,"DIET(AHEI)"
"299",114,6,0.09574960987126,"DIET(AHEI)"
"300",114,7,0.0944249501036,"DIET(AHEI)"
"301",114,8,0.09310029033594,"DIET(AHEI)"
"302",114,9,0.09177563056827,"DIET(AHEI)"
"303",114,10,0.09045097080061,"DIET(AHEI)"
"304",114,11,0.08912631103295,"DIET(AHEI)"
"305",114,12,0.08780165126529,"DIET(AHEI)"
"306",114,13,0.08647699149763,"DIET(AHEI)"
"307",114,14,0.08515233172997,"DIET(AHEI)"
"308",114,15,0.08382767196231,"DIET(AHEI)"
"309",114,16,0.08250301219465,"DIET(AHEI)"
"310",114,17,0.08117835242699,"DIET(AHEI)"
"311",114,18,0.07985369265933,"DIET(AHEI)"
"312",114,19,0.07852903289167,"DIET(AHEI)"
"313",114,20,0.07720437312401,"DIET(AHEI)"
"314",114,21,0.07587971335635,"DIET(AHEI)"
"315",114,22,0.07455505358869,"DIET(AHEI)"
"316",114,23,0.07323039382103,"DIET(AHEI)"
"317",114,24,0.07190573405337,"DIET(AHEI)"
"318",114,25,0.07058107428571,"DIET(AHEI)"
"319",114,26,0.06049806367346,"DIET(AHEI)"
"320",114,27,0.05041505306122,"DIET(AHEI)"
"321",114,28,0.04033204244898,"DIET(AHEI)"
"322",114,29,0.03024903183673,"DIET(AHEI)"
"323",114,30,0.02016602122449,"DIET(AHEI)"
"324",114,31,0.01008301061224,"DIET(AHEI)"
"325",114,32,0,"DIET(AHEI)"
"326",114,33,-0.01431045771792,"DIET(AHEI)"
"327",114,34,-0.02862091543585,"DIET(AHEI)"
"328",114,35,-0.04293137315377,"DIET(AHEI)"
"329",114,36,-0.05724183087169,"DIET(AHEI)"
"330",114,37,-0.07155228858962,"DIET(AHEI)"
"331",114,38,-0.07664540955087,"DIET(AHEI)"
"332",114,39,-0.08173853051213,"DIET(AHEI)"
"333",114,40,-0.08683165147339,"DIET(AHEI)"
"334",114,41,-0.09192477243464,"DIET(AHEI)"
"335",114,42,-0.0970178933959,"DIET(AHEI)"
"336",114,43,-0.10211101435716,"DIET(AHEI)"
"337",114,44,-0.10720413531842,"DIET(AHEI)"
"338",114,45,-0.11229725627967,"DIET(AHEI)"
"339",115,0,0.046,"PA"
"340",115,1,0.041,"PA"
"341",115,2,0.035,"PA"
"342",115,3,0.03,"PA"
"343",115,4,0.025,"PA"
"344",115,5,0.019,"PA"
"345",115,6,0.014,"PA"
"346",115,7,0.012,"PA"
"347",115,8,0.011,"PA"
"348",115,9,0.009,"PA"
"349",115,10,0.007,"PA"
"350",115,11,0.005,"PA"
"351",115,12,0.004,"PA"
"352",115,13,0.002,"PA"
"353",115,14,0,"PA"
"354",115,15,-0.001,"PA"
"355",115,16,-0.003,"PA"
"356",115,17,-0.004,"PA"
"357",115,18,-0.005,"PA"
"358",115,19,-0.007,"PA"
"359",115,20,-0.008,"PA"
"360",115,21,-0.009,"PA"
"361",115,22,-0.011,"PA"
"362",115,23,-0.012,"PA"
"363",115,24,-0.013,"PA"
"364",115,25,-0.015,"PA"
"365",115,26,-0.019,"PA"
"366",115,27,-0.023,"PA"
"367",115,28,-0.027,"PA"
"368",115,29,-0.031,"PA"
"369",115,30,-0.035,"PA"
"370",115,31,-0.04,"PA"
"371",115,32,-0.044,"PA"
"372",115,33,-0.048,"PA"
"373",115,34,-0.052,"PA"
"374",115,35,-0.056,"PA"
"375",115,36,-0.06,"PA"
"376",115,37,-0.064,"PA"
"377",115,38,-0.068,"PA"
"378",115,39,-0.073,"PA"
"379",115,40,-0.077,"PA"
"380",115,41,-0.081,"PA"
"381",115,42,-0.085,"PA"
"382",116,1,-6.349,"Intercept"
"383",111,0,-0.65392647,"Ethnicity"
"384",111,1,0.412109651,"Ethnicity"
"385",111,2,0,"Ethnicity"
"386",111,3,0,"Ethnicity"
"387",111,4,0.693147181,"Ethnicity"
"388",111,5,0,"Ethnicity"
"389",111,6,0,"Ethnicity"
"390",117,1,0,"Alcohol"
"391",117,2,0,"Alcohol"
"392",117,3,0,"Alcohol"
"393",117,4,0.315778365,"Alcohol"
"394",104,19,0,"Age"
"395",104,20,0.188326315815702,"Age"
"396",104,21,0.376652631631405,"Age"
"397",104,22,0.564978947447107,"Age"
"398",104,23,0.753305263262809,"Age"
"399",104,24,0.941631579078511,"Age"
"400",104,25,1.12995789489421,"Age"
"401",104,26,1.31828421070992,"Age"
"402",104,27,1.50661052652562,"Age"
"403",104,28,1.69493684234132,"Age"
"404",104,29,1.88326315815702,"Age"
"405",104,30,1.96701835134917,"Age"
"406",104,31,2.05077354454132,"Age"
"407",104,32,2.13452873773347,"Age"
"408",104,33,2.21828393092562,"Age"
"409",104,34,2.30203912411777,"Age"
"410",104,35,2.38579431730992,"Age"
"411",104,36,2.46954951050207,"Age"
"412",104,37,2.55330470369422,"Age"
"413",104,38,2.63705989688638,"Age"
"414",104,39,2.72081509007853,"Age"
"415",104,40,2.79833168156565,"Age"
"416",104,41,2.87584827305278,"Age"
"417",104,42,2.95336486453991,"Age"
"418",104,43,3.03088145602703,"Age"
"419",104,44,3.10839804751416,"Age"
"420",104,45,3.18591463900129,"Age"
"421",104,46,3.26343123048841,"Age"
"422",104,47,3.34094782197554,"Age"
"423",104,48,3.41846441346267,"Age"
"424",104,49,3.4959810049498,"Age"
"425",104,50,3.55635107372522,"Age"
"426",104,51,3.61672114250065,"Age"
"427",104,52,3.67709121127607,"Age"
"428",104,53,3.7374612800515,"Age"
"429",104,54,3.79783134882692,"Age"
"430",104,55,3.85820141760235,"Age"
"431",104,56,3.91857148637777,"Age"
"432",104,57,3.9789415551532,"Age"
"433",104,58,4.03931162392862,"Age"
"434",104,59,4.09968169270405,"Age"
"435",104,60,4.13710470714506,"Age"
"436",104,61,4.17452772158607,"Age"
"437",104,62,4.21195073602708,"Age"
"438",104,63,4.24937375046809,"Age"
"439",104,64,4.2867967649091,"Age"
"440",104,65,4.32421977935011,"Age"
"441",104,66,4.36164279379112,"Age"
"442",104,67,4.39906580823213,"Age"
"443",104,68,4.43648882267314,"Age"
"444",104,69,4.47391183711415,"Age"
"445",104,70,4.5412916472091,"Age"
"446",104,71,4.60867145730404,"Age"
"447",104,72,4.67605126739899,"Age"
"448",104,73,4.74343107749393,"Age"
"449",104,74,4.81081088758888,"Age"
"450",104,75,4.87819069768382,"Age"
"451",104,76,4.94557050777877,"Age"
"452",104,77,5.01295031787371,"Age"
"453",104,78,5.08033012796866,"Age"
"454",104,79,5.1477099380636,"Age"
"455",104,80,5.1477099380636,"Age"
"456",104,81,5.1477099380636,"Age"
"457",104,82,5.1477099380636,"Age"
"458",104,83,5.1477099380636,"Age"
"459",104,84,5.1477099380636,"Age"
"460",104,85,5.1477099380636,"Age"
"461",105,0,-0.0750306625459171,"Gender"
"462",105,1,0,"Gender"
"463",106,-20,-0.0395462606403704,"Waist"
"464",106,-19,-0.0395462606403704,"Waist"
"465",106,-18,-0.0395462606403704,"Waist"
"466",106,-17,-0.0395462606403704,"Waist"
"467",106,-16,-0.0395462606403704,"Waist"
"468",106,-15,-0.0395462606403704,"Waist"
"469",106,-14,-0.0395462606403704,"Waist"
"470",106,-13,-0.0395462606403704,"Waist"
"471",106,-12,-0.0395462606403704,"Waist"
"472",106,-11,-0.0395462606403704,"Waist"
"473",106,-10,-0.0395462606403704,"Waist"
"474",106,-9,-0.0395462606403704,"Waist"
"475",106,-8,-0.0395462606403704,"Waist"
"476",106,-7,-0.0395462606403704,"Waist"
"477",106,-6,-0.0395462606403704,"Waist"
"478",106,-5,-0.0395462606403704,"Waist"
"479",106,-4,-0.0395462606403704,"Waist"
"480",106,-3,-0.0395462606403704,"Waist"
"481",106,-2,-0.0395462606403704,"Waist"
"482",106,-1,-0.0197731303201852,"Waist"
"483",106,0,0,"Waist"
"484",106,1,0.0197731303201852,"Waist"
"485",106,2,0.0395462606403704,"Waist"
"486",106,3,0.0593193909605556,"Waist"
"487",106,4,0.0790925212807408,"Waist"
"488",106,5,0.0988656516009261,"Waist"
"489",106,6,0.118638781921111,"Waist"
"490",106,7,0.138411912241296,"Waist"
"491",106,8,0.158185042561482,"Waist"
"492",106,9,0.177958172881667,"Waist"
"493",106,10,0.197731303201852,"Waist"
"494",106,11,0.197731303201852,"Waist"
"495",106,12,0.197731303201852,"Waist"
"496",106,13,0.197731303201852,"Waist"
"497",106,14,0.197731303201852,"Waist"
"498",106,15,0.197731303201852,"Waist"
"499",106,16,0.197731303201852,"Waist"
"500",106,17,0.197731303201852,"Waist"
"501",106,18,0.197731303201852,"Waist"
"502",106,19,0.197731303201852,"Waist"
"503",106,20,0.197731303201852,"Waist"
"504",108,100,-0.171864593499643,"TRIG"
"505",108,101,-0.170562957298586,"TRIG"
"506",108,102,-0.169261321097529,"TRIG"
"507",108,103,-0.167959684896472,"TRIG"
"508",108,104,-0.166658048695415,"TRIG"
"509",108,105,-0.165356412494358,"TRIG"
"510",108,106,-0.164054776293301,"TRIG"
"511",108,107,-0.162753140092244,"TRIG"
"512",108,108,-0.161451503891187,"TRIG"
"513",108,109,-0.16014986769013,"TRIG"
"514",108,110,-0.158848231489073,"TRIG"
"515",108,111,-0.157546595288016,"TRIG"
"516",108,112,-0.156244959086959,"TRIG"
"517",108,113,-0.154943322885902,"TRIG"
"518",108,114,-0.153641686684845,"TRIG"
"519",108,115,-0.152340050483788,"TRIG"
"520",108,116,-0.151038414282731,"TRIG"
"521",108,117,-0.149736778081674,"TRIG"
"522",108,118,-0.148435141880617,"TRIG"
"523",108,119,-0.14713350567956,"TRIG"
"524",108,120,-0.145831869478503,"TRIG"
"525",108,121,-0.144530233277446,"TRIG"
"526",108,122,-0.143228597076389,"TRIG"
"527",108,123,-0.141926960875332,"TRIG"
"528",108,124,-0.140625324674274,"TRIG"
"529",108,125,-0.139323688473217,"TRIG"
"530",108,126,-0.13802205227216,"TRIG"
"531",108,127,-0.136720416071103,"TRIG"
"532",108,128,-0.135418779870046,"TRIG"
"533",108,129,-0.134117143668989,"TRIG"
"534",108,130,-0.132815507467932,"TRIG"
"535",108,131,-0.131513871266875,"TRIG"
"536",108,132,-0.130212235065818,"TRIG"
"537",108,133,-0.128910598864761,"TRIG"
"538",108,134,-0.127608962663704,"TRIG"
"539",108,135,-0.126307326462647,"TRIG"
"540",108,136,-0.12500569026159,"TRIG"
"541",108,137,-0.123704054060533,"TRIG"
"542",108,138,-0.122402417859476,"TRIG"
"543",108,139,-0.121100781658419,"TRIG"
"544",108,140,-0.119799145457362,"TRIG"
"545",108,141,-0.118497509256305,"TRIG"
"546",108,142,-0.117195873055248,"TRIG"
"547",108,143,-0.115894236854191,"TRIG"
"548",108,144,-0.114592600653134,"TRIG"
"549",108,145,-0.113290964452077,"TRIG"
"550",108,146,-0.11198932825102,"TRIG"
"551",108,147,-0.110687692049963,"TRIG"
"552",108,148,-0.109386055848906,"TRIG"
"553",108,149,-0.108084419647849,"TRIG"
"554",108,150,-0.106782783446792,"TRIG"
"555",108,151,-0.105481147245735,"TRIG"
"556",108,152,-0.104179511044677,"TRIG"
"557",108,153,-0.10287787484362,"TRIG"
"558",108,154,-0.101576238642563,"TRIG"
"559",108,155,-0.100274602441506,"TRIG"
"560",108,156,-0.0989729662404493,"TRIG"
"561",108,157,-0.0976713300393923,"TRIG"
"562",108,158,-0.0963696938383353,"TRIG"
"563",108,159,-0.0950680576372782,"TRIG"
"564",108,160,-0.0937664214362212,"TRIG"
"565",108,161,-0.0924647852351642,"TRIG"
"566",108,162,-0.0911631490341071,"TRIG"
"567",108,163,-0.0898615128330501,"TRIG"
"568",108,164,-0.0885598766319931,"TRIG"
"569",108,165,-0.087258240430936,"TRIG"
"570",108,166,-0.085956604229879,"TRIG"
"571",108,167,-0.0846549680288219,"TRIG"
"572",108,168,-0.0833533318277649,"TRIG"
"573",108,169,-0.0820516956267079,"TRIG"
"574",108,170,-0.0807500594256508,"TRIG"
"575",108,171,-0.0794484232245938,"TRIG"
"576",108,172,-0.0781467870235368,"TRIG"
"577",108,173,-0.0768451508224797,"TRIG"
"578",108,174,-0.0755435146214227,"TRIG"
"579",108,175,-0.0742418784203657,"TRIG"
"580",108,176,-0.0729402422193086,"TRIG"
"581",108,177,-0.0716386060182516,"TRIG"
"582",108,178,-0.0703369698171945,"TRIG"
"583",108,179,-0.0690353336161375,"TRIG"
"584",108,180,-0.0677336974150805,"TRIG"
"585",108,181,-0.0664320612140234,"TRIG"
"586",108,182,-0.0651304250129664,"TRIG"
"587",108,183,-0.0638287888119094,"TRIG"
"588",108,184,-0.0625271526108523,"TRIG"
"589",108,185,-0.0612255164097953,"TRIG"
"590",108,186,-0.0599238802087383,"TRIG"
"591",108,187,-0.0586222440076812,"TRIG"
"592",108,188,-0.0573206078066242,"TRIG"
"593",108,189,-0.0560189716055672,"TRIG"
"594",108,190,-0.0547173354045101,"TRIG"
"595",108,191,-0.0534156992034531,"TRIG"
"596",108,192,-0.052114063002396,"TRIG"
"597",108,193,-0.050812426801339,"TRIG"
"598",108,194,-0.049510790600282,"TRIG"
"599",108,195,-0.0482091543992249,"TRIG"
"600",108,196,-0.0469075181981679,"TRIG"
"601",108,197,-0.0456058819971109,"TRIG"
"602",108,198,-0.0443042457960538,"TRIG"
"603",108,199,-0.0430026095949968,"TRIG"
"604",108,200,-0.0417009733939397,"TRIG"
"605",108,201,-0.0403993371928827,"TRIG"
"606",108,202,-0.0390977009918257,"TRIG"
"607",108,203,-0.0377960647907686,"TRIG"
"608",108,204,-0.0364944285897116,"TRIG"
"609",108,205,-0.0351927923886546,"TRIG"
"610",108,206,-0.0338911561875975,"TRIG"
"611",108,207,-0.0325895199865405,"TRIG"
"612",108,208,-0.0312878837854835,"TRIG"
"613",108,209,-0.0299862475844264,"TRIG"
"614",108,210,-0.0286846113833694,"TRIG"
"615",108,211,-0.0273829751823124,"TRIG"
"616",108,212,-0.0260813389812553,"TRIG"
"617",108,213,-0.0247797027801983,"TRIG"
"618",108,214,-0.0234780665791413,"TRIG"
"619",108,215,-0.0221764303780842,"TRIG"
"620",108,216,-0.0208747941770272,"TRIG"
"621",108,217,-0.0195731579759701,"TRIG"
"622",108,218,-0.0182715217749131,"TRIG"
"623",108,219,-0.0169698855738561,"TRIG"
"624",108,220,-0.015668249372799,"TRIG"
"625",108,221,-0.014366613171742,"TRIG"
"626",108,222,-0.013064976970685,"TRIG"
"627",108,223,-0.0117633407696279,"TRIG"
"628",108,224,-0.0104617045685709,"TRIG"
"629",108,225,-0.00916006836751385,"TRIG"
"630",108,226,-0.00785843216645682,"TRIG"
"631",108,227,-0.00655679596539976,"TRIG"
"632",108,228,-0.00525515976434274,"TRIG"
"633",108,229,-0.00395352356328571,"TRIG"
"634",108,230,-0.00265188736222866,"TRIG"
"635",108,231,-0.00135025116117163,"TRIG"
"636",108,232,-4.86149601146013e-05,"TRIG"
"637",108,233,0.00125302124094245,"TRIG"
"638",108,234,0.00255465744199948,"TRIG"
